,DUKE-00650,DUKE-00651,DUKE-00652,DUKE-00653,DUKE-00654,DUKE-00655,DUKE-00656,DUKE-00657,DUKE-00658,DUKE-00659,DUKE-00660,DUKE-00661,DUKE-00662,DUKE-00663,DUKE-00664,DUKE-00665,DUKE-00666,DUKE-00667,DUKE-00668,DUKE-00669,DUKE-00670,DUKE-00671,DUKE-00672,DUKE-00673,DUKE-00674,DUKE-00675,DUKE-00676,DUKE-00677,DUKE-00678,DUKE-00679
3-(4-hydroxyphenyl)lactate,82908.5,119819.2,69444.7,86443.4,96206.4,34194.3,54638.4,22243.2,59859.8,21226.2,83330.2,80182.1,39679.8,20710,375906.6,23141.8,89983.2,118340.3,45430.9,44839.7,198712.7,51257.5,42860.5,95586.9,126192.3,65337.3,115625,58027.5,51124.2,44133.3
3-(cystein-S-yl)acetaminophen*,23919.2,23603.5,,,,7330.8,5597.6,,,,,51912.4,35809.2,,23047.6,,,,,,,,19909.6,,18482.9,19517.1,,,,
3-aminoisobutyrate,147009.8,123461.3,702341.8,157078,145921,,,148588,143066,,880296.4,135145,,,,111245.1,713259,81543,2601272.8,204976,88277,114293,,590007,822316.8,1237250.5,118087.6,,391232.6,71456
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),13587.3,11704.9,7399.8,8584.6,4321.3,8739.3,3879.6,4033.2,7261.1,4182.4,,12154.2,75330.3,2401.8,29086,3212.7,,43378.2,,,11619,5201.3,3424,23051.1,14434.2,3153.3,7714.6,8437.8,,12861.1
3-dehydrocarnitine*,285719.1,227719.4,653883.3,258495.9,287668.3,37085.9,50700.4,378827,494840.6,54905.5,407306.3,303517.4,243769.5,108128.8,60292.9,223497.1,149939.6,173878.2,486380.7,613977,376968,66362.1,240821.7,568616.9,351908.9,166456.9,588398.8,160342.8,255453,209414.7
3-hydroxybutyrate (BHBA),1771281.4,6615615,1286492,1360673.1,3705777.8,612457,928193.8,2620799,3752502.8,1496408,6338772,1154974.9,1448759.4,325987.8,286764.9,1266099,846122.4,1967009.8,679212.7,2679931.3,379632.9,2750120.5,501850.9,878821.5,681039.4,1677937.8,671301.3,1561871,1537253.9,2121828
3-hydroxyhippurate,,,,3457.6,,4542.6,,2243.2,7487.2,,,3768.8,15639.3,3418.2,,,2574.7,,,1538,,,3797.9,2290.5,,,,,,3997.9
3-indoxyl sulfate,21115.4,15022.3,16254.5,15077.4,15962.1,51485.4,37850.3,11150.9,12718.3,29616,6828.9,71804.9,61209.2,85452,25356.4,14828.4,13579.3,28196.6,17332.9,14621.7,21442.6,6702.3,25177.2,48192,18154.3,11715,21167.1,5047.1,8690.7,17192.7
3-methyl-2-oxovalerate,4436.4,5639.8,2354.1,4285.5,,29225.2,34738.5,,4692,7316.1,4551.9,3315.8,6987.6,81341.7,103691.3,,8236.4,,,,,4584.9,3809.6,15675.2,13391.5,4018.6,,,4785.2,6277.3
3-methylhistidine,14795.6,,6485,9885,17419.5,8581.4,16852.8,5911,9056.2,5451.2,20092.4,4443.2,30977.7,,14862.3,,15990.4,,32403.7,9698,13502,,8747.1,30999.7,14331.4,11921.5,12231,5953.3,13117.8,
