,NCIA-01751,NCIA-01752,NCIA-01753,NCIA-01754,NCIA-01755,NCIA-01756,NCIA-01757,NCIA-01758,NCIA-01759,NCIA-01760,NCIA-01761,NCIA-01762,NCIA-01763,NCIA-01764,NCIA-01765,NCIA-01766,NCIA-01767,NCIA-01768,NCIA-01769,NCIA-01770,NCIA-01771,NCIA-01772,NCIA-01773,NCIA-01774,NCIA-01775,NCIA-01776,NCIA-01777,NCIA-01778,NCIA-01779,NCIA-01780,NCIA-01781,NCIA-01782,NCIA-01783,NCIA-01784,NCIA-01785,NCIA-01786,NCIA-01787,NCIA-01788,NCIA-01789,NCIA-01790,NCIA-01791,NCIA-01792,NCIA-01793,NCIA-01794,NCIA-01795,NCIA-01796,NCIA-01797,NCIA-01798,NCIA-01799,NCIA-01800,NCIA-01801,NCIA-01802,NCIA-01803,NCIA-01804,NCIA-01805,NCIA-01806,NCIA-01807,NCIA-01808,NCIA-01809
tryptophan,21809694,11359441,12744895,7382821,4890287.5,27149372,58327524,55854320,59884176,15632352,71967792,78074896,6547549,16571572,14241958,11492444,37572220,5383118,79417920,14342416,16779908,11994108,42168972,47227040,11268273,11783125,8531626,4458771,15974681,5763244.5,2775352,5528109.5,17344074,4640183.5,5412387,2662831.3,9004807,8048105.5,13157819,8185404,5536967.5,2710506.8,1876517,6097317,5411081.5,4365394.5,23521962,16993368,8942178,5643689,5155187,6132301.5,7682436.5,5755825,7478356,6803412.5,5210350,8058444.5,2998226.8
tryptophan betaine ,30316.2,,191402.6,140298,59610,85026.9,76418.5,92586.3,,89652.9,109499,139486,,64062.5,76181.5,50877,116491.7,191697,483883.9,344821.4,426450.8,556360.9,51249,66240,84832,137038.5,189174.3,97019.6,57321.5,57097.4,261019.2,699053.4,,60391.9,144336.1,138388,76255.2,59044.8,78049.8,116770.4,138905.3,279617.8,22263.5,56776.8,95741.1,93864.8,,85694.2,,789758.9,75071.3,557065.2,23876.2,171356.2,164344.7,146000.9,24688.6,,72038.2
tyrosine,52301064,23472380,24103714,20628166,10130481,43059328,91338240,95896992,89452704,37140040,99848808,105454392,16835792,33071456,25517952,40762140,55951884,16635999,112244896,34740468,35884888,22878044,69714856,83622128,26690440,29206980,19278476,15841773,28075820,14611275,5397924,20315072,29095554,9694514,13527044,7393043.5,21456802,18339420,32037478,17539640,11557240,6448308,11948788,17698562,12216529,7275680.5,40187140,51295448,19129796,14387691,23175212,18611954,18238170,23559462,32356222,20917626,18158002,29519478,7091959.5
undecanedioate,27927.2,7067,10677.8,13942.1,29574.2,10626.8,7691.7,16104.6,20077.3,18210.3,17268.9,26073.1,41128.8,21355,32825.2,18917.1,36414.7,10309.2,21023.2,11866.5,33305.3,19294.3,16392.9,20467.3,22614.6,11523.9,11118.4,11142,22133.2,14971.9,6762.1,15817.2,15726.1,,22816,9145.2,11799.6,11919.4,20724.9,14721.4,10549.3,7180.6,18652.5,24496,16104.6,10879.9,10042.1,8642.7,16972.4,,12353.7,21843.2,21817.9,,20716.8,9810.6,15416.4,24034.7,11519.9
undecanoate (11:0),68667.8,16015.5,38188.4,52371.6,32500.6,43760,26694.5,31812,159047.9,58568.8,39667.8,,93256.4,45522,45929.3,27719,30985,30674.4,61484.8,37997.9,52562.6,28915.1,,60629.9,55356.2,21095.8,29578.5,20388.2,30698.5,131433.1,22304.5,,27657.5,37483.6,30290.5,43286.2,36929.4,27564.1,42559.7,62307.8,32960.7,32735.2,26339.3,33194.8,50677.1,28936.2,96666.4,39576.6,24972.1,44287.4,27409.4,52415.9,,23656.7,35227.5,26536.7,,36296,69585.8
uracil,553262.9,353331,891495.5,981650.5,200639,1458045.4,333991.5,345151.9,698096.7,534337.8,5489531.5,3273595,55630.3,313916.9,522595.3,167171.7,595295.8,577431.3,1287670.4,644161.3,542523.7,562789.3,833964.5,683812.8,315139.4,470633.3,806317.7,323137.5,367214.1,824892.3,67367.8,1019892.6,908260.6,659542,480081.9,598194.2,768080.2,716615.1,469168.1,557004.2,361898.1,426477.3,12513.3,255213.6,263741.9,673820.6,232213.9,367254.5,118272.4,276532.1,195724.3,285367.6,268733.4,467703,156390.3,333900.6,198851.7,215300.2,322502.8
urate,43293.1,212824.4,211966.7,101537.2,,81445.3,40850.2,60126.4,94118.4,89456.1,58180.4,,57844,127725.1,201757,73854.2,66570.7,89070.9,203748.9,171763.3,122403.7,280876.2,72137.9,227860.8,401997.1,569847,243446,113049.8,109344.3,155523.5,168026.4,333432.3,1696202.5,436883.8,262587.5,380261,191106,223485.2,325061.6,567342.3,256354.1,218095.9,15865.8,110654,150753.5,671015.4,45323.4,135525,,184866.8,155523.5,159143.1,25514.2,202275.7,47611.7,96692.7,114455.5,74124,1039547.7
urea,861974.5,980924.4,1858934.8,1266488.5,485114.5,679986.6,2151282.5,1031048.1,2148238.5,795743.6,3712847.5,3287195.3,848827.8,1333429.3,2668606.3,637951.7,1699920.9,912785.3,4703560.5,2955234,1913220.4,2061002,1504545.4,2497094.3,8262672,15491017,3360038,1643167.3,3132831.5,3074088,16995.2,1147444.9,1905539.4,2229337.5,2313080.5,3138581.5,2664790.3,2495344.5,4693660.5,6729572.5,3177411.5,3232781.3,885824.8,1909379.9,4553467.5,6388653,678037.1,2373338.3,565866,1916396.9,1812967.9,627278,630460.4,1328976.3,381690.7,1134223.8,1227390.5,445142.5,8755124
uridine,1028185.4,589799.9,1091243.3,686363.6,214733.5,644045.1,1515971.3,1373849.1,1744362.6,852000.4,2473348.3,839844.9,567579.8,1423205.4,1689541.1,918547.6,1494210.1,628875.4,1589201.8,742089.2,1445804.1,1138004.8,1085159.3,1109391,480462.1,402682.3,923245.6,791606.6,1067464.3,1233338.1,619184.4,910784.3,2183093.8,1222999.1,995542.6,823158.5,956380.6,1124914.3,1242359.3,440454,1002327.7,528895.3,208181.6,948839.3,2198526.3,857158.1,1918783.5,1065727.3,1143080.1,609877.4,437101.5,711973.3,547015.6,623525.8,465818.8,740410.1,640003.1,880714.8,623305.4
valerylcarnitine,,25112.6,37631.2,,,24790.9,33335.1,,,,,,,24690.3,,,,20886,79019,23227.5,39173.4,50136.4,28150.9,29625.2,49695.3,100730.7,120673,,21414,20464.8,,99637.8,,63156.4,76764.1,53932,43154,38523,,163849.9,47263.4,53547,,,,62157,,253473.6,49137.7,25002.9,26303.7,,35802.4,28652.2,40065.2,60743.9,36269.1,27536.8,32467.9
valine,66159448,32229102,30904056,27340984,16279211,62615800,108969744,107719416,102947880,40677160,152501680,152990800,20513506,41055152,34878364,39157572,72799768,20733002,138569792,43964700,42276628,31155232,84044040,92978168,28817962,36033324,23962028,12407047,37987080,19929596,7190056.5,26491266,47932888,15316322,17083272,14200430,27230442,24527344,40897940,24583012,17253896,14315538,6363698.5,19780894,18420892,14760379,49865524,55636024,24813184,19207868,23140494,21390526,20790370,27451524,34342264,25222564,18961710,26556094,13204695
venlafaxine,,,,,433123.2,872032.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGAHAGEYGAEALER*,,85693.5,268051.7,,162374.3,665142,105730.4,,,389333.1,43405,,149928.8,,,,,27406.3,,199278.8,,46465.6,,,92432.8,54464.9,124094.7,27523.8,,116825.1,74990,250162.1,,,403787,14001.9,131387.7,79580.4,,109555.5,250752.7,,3277320,175142.1,,170685.9,,72774.1,,,19179.9,185546.7,609478.9,,127200.7,32480.8,72135.8,103010.4,
xanthine,2708152,2969222,3538130.5,1874988.5,1077110.3,3419992.5,3191073.8,2853500,4036838,2334551,6057031,4362890.5,690025.9,3264824,4182864.8,2521545,3717883.5,1572540.6,3757588.8,2374938,3208816.5,2577211.5,2888078.3,3220874.5,2115706.5,2619960.5,2891817.8,1765516.1,2144901.8,2196334,842311.6,2182786.5,6883523,2070194.9,2296990.3,1918859.6,2169239,2514817.3,2914740.3,1792434.3,1613276.6,1497738.3,382577,2061704.4,2628009,1494896.1,2431870,1919501.3,1988572.6,1572015.5,1404045.9,1338395.4,1689391.6,1944873.1,1785461.4,1629778.3,1264021.1,1712225.4,1286416.5
xanthosine,293634.5,166265.5,108501.4,59878.6,,50310.6,122250.4,,145195.1,85255.1,71270.7,91696.2,,50746.3,56965.1,34074.2,92410.4,21059.5,141106.4,78595.6,214173.8,141388.5,83842,109649.2,74768.2,73813.1,98639.5,74957.4,66277.7,25646,26319.1,96587.7,84078.8,,27966.1,73892,120824.1,87222.1,23816.6,74583,,,,,37272,60506.8,,196800.9,,75356.2,32043.7,58473.2,49347.8,,152330.3,43721.8,65199.5,31756.9,74768.2
